5.2nm Ustress: 6.76 Ustrain: 8.25
10.0nm Ustress: 7.83 Ustrain: 6.87
15.6nm Ustress: 7.90 Ustrain: 6.85
20.1nm Ustress: 8.50 Ustrain: 6.63
25.3nm Ustress: 9.54 Ustrain: 6.81
27.9nm Ustress: 9.90 Ustrain: 6.23
