5.2nm Ystress: 4.09 Ystrain: 2.97
10.0nm Ystress: 5.04 Ystrain: 3.07
15.6nm Ystress: 5.14 Ystrain: 3.02
20.1nm Ystress: 5.60 Ystrain: 3.11
25.3nm Ystress: 6.05 Ystrain: 3.17
27.9nm Ystress: 6.61 Ystrain: 3.28
