           bulk lmp:   278.795099 ref:   208.748333 err:    33.555605 %
            pxx lmp:   267.091172 ref:     1.000000 err: 26609.117230 %
            -10 lmp:   241.212148 ref:    -5.936864 err: -4162.955867 %
             -9 lmp:   149.723760 ref:    -6.212291 err: -2510.121395 %
             -8 lmp:   319.260836 ref:    -6.466242 err: -5037.347090 %
             -7 lmp:   226.053218 ref:    -6.680298 err: -3483.879132 %
             -6 lmp: -22606.421721 ref:    -6.854862 err: 329686.697302 %
             -5 lmp:   180.582955 ref:    -6.996149 err: -2681.176341 %
             -4 lmp:   301.462829 ref:    -7.107536 err: -4341.453132 %
             -3 lmp:   137.509916 ref:    -7.190518 err: -2012.378318 %
             -2 lmp: 118550.385927 ref:    -7.246351 err: -1636101.186997 %
             -1 lmp:    -6.607310 ref:    -7.277912 err:    -9.214209 %
              0 lmp:    -6.766794 ref:    -7.286507 err:    -7.132546 %
              1 lmp:    -6.899240 ref:    -7.275521 err:    -5.171876 %
              2 lmp:    -7.006224 ref:    -7.245993 err:    -3.308988 %
              3 lmp:    -7.089284 ref:    -7.198763 err:    -1.520810 %
              4 lmp:    -7.149922 ref:    -7.139068 err:     0.152039 %
              5 lmp:    -7.189600 ref:    -7.066422 err:     1.743147 %
              6 lmp:    -7.209731 ref:    -6.981991 err:     3.261824 %
              7 lmp:    -7.211686 ref:    -6.886570 err:     4.721010 %
              8 lmp:    -7.196802 ref:    -6.781562 err:     6.123083 %
              9 lmp:    -7.166388 ref:    -6.667906 err:     7.475845 %
             10 lmp:    -7.121696 ref:    -6.546394 err:     8.788073 %
           bulk lmp:    -7.063918 ref:   220.773333 err:  -103.199625 %
            pxx lmp:    -6.994193 ref:     1.000000 err:  -799.419318 %
            -10 lmp:    -6.913602 ref:    -6.648424 err:     3.988595 %
             -9 lmp:    -6.823172 ref:    -6.967594 err:    -2.072760 %
             -8 lmp:    -6.723876 ref:    -7.244047 err:    -7.180669 %
             -7 lmp:    -6.616634 ref:    -7.475630 err:   -11.490616 %
             -6 lmp:    -6.502316 ref:    -7.665667 err:   -15.176117 %
             -5 lmp:    -6.381742 ref:    -7.817510 err:   -18.366048 %
             -4 lmp:    -6.255684 ref:    -7.934322 err:   -21.156668 %
             -3 lmp: 175815.585200 ref:    -8.019229 err: -2192525.030792 %
             -2 lmp:    -7.231854 ref:    -8.076740 err:   -10.460731 %
             -1 lmp:    -7.504718 ref:    -8.109332 err:    -7.455770 %
              0 lmp:    -7.727358 ref:    -8.119557 err:    -4.830292 %
              1 lmp:    -7.904098 ref:    -8.108475 err:    -2.520532 %
              2 lmp:    -8.038975 ref:    -8.077522 err:    -0.477218 %
              3 lmp:    -8.135754 ref:    -8.033674 err:     1.270655 %
              4 lmp:    -8.197943 ref:    -7.967235 err:     2.895718 %
              5 lmp:    -8.228671 ref:    -7.885664 err:     4.349746 %
              6 lmp:    -8.230822 ref:    -7.790825 err:     5.647641 %
              7 lmp:    -8.207899 ref:    -7.683899 err:     6.819457 %
              8 lmp:    -8.162005 ref:    -7.566208 err:     7.874452 %
              9 lmp:    -8.095501 ref:    -7.439229 err:     8.821778 %
             10 lmp:    -8.010586 ref:    -7.303822 err:     9.676633 %
           bulk lmp:    -7.909304 ref:   182.237467 err:  -104.340109 %
            pxx lmp:    -7.793553 ref:     1.000000 err:  -879.355334 %
            -10 lmp:    -7.665094 ref:    -6.430361 err:    19.201614 %
             -9 lmp:    -7.525557 ref:    -6.701815 err:    12.291325 %
             -8 lmp:    -7.376449 ref:    -6.935224 err:     6.362101 %
             -7 lmp:    -7.219161 ref:    -7.132201 err:     1.219263 %
             -6 lmp:    -7.054975 ref:    -7.296724 err:    -3.313123 %
             -5 lmp:    -6.885068 ref:    -7.434133 err:    -7.385738 %
             -4 lmp: 363515.620213 ref:    -7.539551 err: -4821549.330524 %
             -3 lmp:    -4.231686 ref:    -7.620951 err:   -44.473000 %
             -2 lmp:    -4.789295 ref:    -7.677085 err:   -37.615710 %
             -1 lmp:    -5.284591 ref:    -7.709330 err:   -31.452004 %
              0 lmp:    -5.722332 ref:    -7.718732 err:   -25.864355 %
              1 lmp:    -6.106851 ref:    -7.711342 err:   -20.806905 %
              2 lmp:    -6.442135 ref:    -7.686041 err:   -16.183968 %
              3 lmp:    -6.732660 ref:    -7.643810 err:   -11.920102 %
              4 lmp:    -6.981655 ref:    -7.586703 err:    -7.975107 %
              5 lmp:    -7.192467 ref:    -7.516055 err:    -4.305283 %
              6 lmp:    -7.368211 ref:    -7.433046 err:    -0.872252 %
              7 lmp:    -7.511788 ref:    -7.339204 err:     2.351529 %
              8 lmp:    -7.625895 ref:    -7.235715 err:     5.392417 %
              9 lmp:    -7.713043 ref:    -7.123398 err:     8.277572 %
             10 lmp:    -7.775564 ref:    -7.001840 err:    11.050294 %
           bulk lmp:    -7.815626 ref:   158.912400 err:  -104.918198 %
            pxx lmp:    -7.835243 ref:     1.000000 err:  -883.524256 %
            -10 lmp:    -7.836277 ref:    -5.376457 err:    45.751686 %
             -9 lmp:    -7.820292 ref:    -5.583698 err:    40.055790 %
             -8 lmp:    -7.788569 ref:    -5.760650 err:    35.202949 %
             -7 lmp:    -7.742326 ref:    -5.898898 err:    31.250394 %
             -6 lmp:    -7.682730 ref:    -6.019703 err:    27.626393 %
             -5 lmp: 59100.843696 ref:    -6.123811 err: -965199.037207 %
             -4 lmp:    -5.802464 ref:    -6.205571 err:    -6.495882 %
             -3 lmp:    -6.002509 ref:    -6.265778 err:    -4.201690 %
             -2 lmp:    -6.179661 ref:    -6.306305 err:    -2.008213 %
             -1 lmp:    -6.334752 ref:    -6.328466 err:     0.099327 %
              0 lmp:    -6.468643 ref:    -6.334132 err:     2.123588 %
              1 lmp:    -6.582219 ref:    -6.326788 err:     4.037291 %
              2 lmp:    -6.676375 ref:    -6.307027 err:     5.856122 %
              3 lmp:    -6.752017 ref:    -6.267326 err:     7.733618 %
              4 lmp:    -6.810055 ref:    -6.224515 err:     9.406998 %
              5 lmp:    -6.851394 ref:    -6.179363 err:    10.875404 %
              6 lmp:    -6.876935 ref:    -6.118303 err:    12.399371 %
              7 lmp:    -6.887568 ref:    -6.051069 err:    13.823986 %
              8 lmp:    -6.884211 ref:    -5.977126 err:    15.175933 %
              9 lmp:    -6.868086 ref:    -5.898769 err:    16.432534 %
             10 lmp:    -6.840500 ref:    -5.817014 err:    17.594686 %
           bulk lmp:    -6.802649 ref:   265.479733 err:  -102.562399 %
            pxx lmp:    -6.755637 ref:     1.000000 err:  -775.563654 %
            -10 lmp:    -6.700472 ref:    -6.063506 err:    10.504925 %
             -9 lmp:    -6.638083 ref:    -6.438025 err:     3.107437 %
             -8 lmp:    -6.569317 ref:    -6.756197 err:    -2.766065 %
             -7 lmp:    -6.494951 ref:    -7.024090 err:    -7.533206 %
             -6 lmp: 441633.091877 ref:    -7.243095 err: -6097398.135559 %
             -5 lmp:    -3.202717 ref:    -7.418480 err:   -56.827859 %
             -4 lmp:    -3.925750 ref:    -7.553872 err:   -48.029969 %
             -3 lmp:    -4.555652 ref:    -7.653126 err:   -40.473323 %
             -2 lmp:    -5.101461 ref:    -7.719045 err:   -33.910729 %
             -1 lmp:    -5.571423 ref:    -7.754775 err:   -28.154935 %
              0 lmp:    -5.973059 ref:    -7.763645 err:   -23.063726 %
              1 lmp:    -6.313223 ref:    -7.748529 err:   -18.523595 %
              2 lmp:    -6.598154 ref:    -7.711936 err:   -14.442310 %
              3 lmp:    -6.833534 ref:    -7.656053 err:   -10.743381 %
              4 lmp:    -7.024514 ref:    -7.582317 err:    -7.356631 %
              5 lmp:    -7.175734 ref:    -7.483267 err:    -4.109617 %
              6 lmp:    -7.291613 ref:    -7.379403 err:    -1.189666 %
              7 lmp:    -7.375934 ref:    -7.262768 err:     1.558173 %
              8 lmp:    -7.432203 ref:    -7.134796 err:     4.168398 %
              9 lmp:    -7.463595 ref:    -6.996554 err:     6.675312 %
             10 lmp:    -7.472987 ref:    -6.849406 err:     9.104152 %
           bulk lmp:    -7.462872 ref:   233.235550 err:  -103.199714 %
            pxx lmp:    -7.435161 ref:     1.000000 err:  -843.516101 %
            -10 lmp:    -7.391549 ref:    -5.931840 err:    24.608028 %
             -9 lmp:    -7.333613 ref:    -6.277648 err:    16.821026 %
             -8 lmp:    -7.262821 ref:    -6.571782 err:    10.515237 %
             -7 lmp: 31179.783985 ref:    -6.816925 err: -457487.792333 %
             -6 lmp:    -5.120518 ref:    -7.017999 err:   -27.037356 %
             -5 lmp:    -5.505754 ref:    -7.178718 err:   -23.304500 %
             -4 lmp:    -5.823878 ref:    -7.303134 err:   -20.255086 %
