ParaID LowerBound UpperBound ParaName 

*70: 0.1 0.99 Cmin(1,5,2) -> Cmin(Nb,V,Mo)
*71: 2 2.8 Cmax(1,5,2) -> Cmax(Nb,V,Mo)
*72: 0.1 0.99 Cmin(1,5,3) -> Cmin(Nb,V,W)
*73: 2 2.8 Cmax(1,5,3) -> Cmax(Nb,V,W)
*74: 0.1 0.99 Cmin(1,5,4) -> Cmin(Nb,V,Ta)
*75: 2 2.8 Cmax(1,5,4) -> Cmax(Nb,V,Ta)
*76: 0.1 0.99 Cmin(1,5,5) -> Cmin(Nb,V,V)
*77: 2 2.8 Cmax(1,5,5) -> Cmax(Nb,V,V)
*78: 0.1 0.99 Cmin(1,1,2) -> Cmin(Nb,Nb,Mo)
*79: 2 2.8 Cmax(1,1,2) -> Cmax(Nb,Nb,Mo)
*80: 0.1 0.99 Cmin(1,1,3) -> Cmin(Nb,Nb,W)
*81: 2 2.8 Cmax(1,1,3) -> Cmax(Nb,Nb,W)
*82: 0.1 0.99 Cmin(1,1,4) -> Cmin(Nb,Nb,Ta)
*83: 2 2.8 Cmax(1,1,4) -> Cmax(Nb,Nb,Ta)
*84: 0.1 0.99 Cmin(1,1,5) -> Cmin(Nb,Nb,V)
*85: 2 2.8 Cmax(1,1,5) -> Cmax(Nb,Nb,V)
*86: -0.1 0.1 attrac(2,3) -> attrac(Mo,W)
*87: -0.1 0.1 repuls(2,3) -> repuls(Mo,W)
*88: 0.1 0.99 Cmin(2,3,1) -> Cmin(Mo,W,Nb)
*89: 2 2.8 Cmax(2,3,1) -> Cmax(Mo,W,Nb)
*90: 0.1 0.99 Cmin(2,3,2) -> Cmin(Mo,W,Mo)
*91: 2 2.8 Cmax(2,3,2) -> Cmax(Mo,W,Mo)
*92: 0.1 0.99 Cmin(2,3,3) -> Cmin(Mo,W,W)
*93: 2 2.8 Cmax(2,3,3) -> Cmax(Mo,W,W)
*94: 0.1 0.99 Cmin(2,3,4) -> Cmin(Mo,W,Ta)
*95: 2 2.8 Cmax(2,3,4) -> Cmax(Mo,W,Ta)
*96: 0.1 0.99 Cmin(2,3,5) -> Cmin(Mo,W,V)
*97: 2 2.8 Cmax(2,3,5) -> Cmax(Mo,W,V)
*98: -0.1 0.1 attrac(2,4) -> attrac(Mo,Ta)
*99: -0.1 0.1 repuls(2,4) -> repuls(Mo,Ta)
*100: 0.1 0.99 Cmin(2,4,1) -> Cmin(Mo,Ta,Nb)
*101: 2 2.8 Cmax(2,4,1) -> Cmax(Mo,Ta,Nb)
*102: 0.1 0.99 Cmin(2,4,2) -> Cmin(Mo,Ta,Mo)
*103: 2 2.8 Cmax(2,4,2) -> Cmax(Mo,Ta,Mo)
*104: 0.1 0.99 Cmin(2,4,3) -> Cmin(Mo,Ta,W)
*105: 2 2.8 Cmax(2,4,3) -> Cmax(Mo,Ta,W)
*106: 0.1 0.99 Cmin(2,4,4) -> Cmin(Mo,Ta,Ta)
*107: 2 2.8 Cmax(2,4,4) -> Cmax(Mo,Ta,Ta)
*108: 0.1 0.99 Cmin(2,4,5) -> Cmin(Mo,Ta,V)
*109: 2 2.8 Cmax(2,4,5) -> Cmax(Mo,Ta,V)
*110: -0.1 0.1 attrac(2,5) -> attrac(Mo,V)
*111: -0.1 0.1 repuls(2,5) -> repuls(Mo,V)
*112: 0.1 0.99 Cmin(2,5,1) -> Cmin(Mo,V,Nb)
*113: 2 2.8 Cmax(2,5,1) -> Cmax(Mo,V,Nb)
*114: 0.1 0.99 Cmin(2,5,2) -> Cmin(Mo,V,Mo)
*115: 2 2.8 Cmax(2,5,2) -> Cmax(Mo,V,Mo)
*116: 0.1 0.99 Cmin(2,5,3) -> Cmin(Mo,V,W)
*117: 2 2.8 Cmax(2,5,3) -> Cmax(Mo,V,W)
*118: 0.1 0.99 Cmin(2,5,4) -> Cmin(Mo,V,Ta)
*119: 2 2.8 Cmax(2,5,4) -> Cmax(Mo,V,Ta)
*120: 0.1 0.99 Cmin(2,5,5) -> Cmin(Mo,V,V)
*121: 2 2.8 Cmax(2,5,5) -> Cmax(Mo,V,V)
*122: 0.1 0.99 Cmin(2,2,1) -> Cmin(Mo,Mo,Nb)
*123: 2 2.8 Cmax(2,2,1) -> Cmax(Mo,Mo,Nb)
*124: 0.1 0.99 Cmin(2,2,3) -> Cmin(Mo,Mo,W)
*125: 2 2.8 Cmax(2,2,3) -> Cmax(Mo,Mo,W)
*126: 0.1 0.99 Cmin(2,2,4) -> Cmin(Mo,Mo,Ta)
*127: 2 2.8 Cmax(2,2,4) -> Cmax(Mo,Mo,Ta)
*128: 0.1 0.99 Cmin(2,2,5) -> Cmin(Mo,Mo,V)
*129: 2 2.8 Cmax(2,2,5) -> Cmax(Mo,Mo,V)
*130: 1 1 rho0(2) -> rho0(Mo)
*131: -0.1 0.1 attrac(3,4) -> attrac(W,Ta)
*132: -0.1 0.1 repuls(3,4) -> repuls(W,Ta)
*133: 0.1 0.99 Cmin(3,4,1) -> Cmin(W,Ta,Nb)
*134: 2 2.8 Cmax(3,4,1) -> Cmax(W,Ta,Nb)
*135: 0.1 0.99 Cmin(3,4,2) -> Cmin(W,Ta,Mo)
*136: 2 2.8 Cmax(3,4,2) -> Cmax(W,Ta,Mo)
*137: 0.1 0.99 Cmin(3,4,3) -> Cmin(W,Ta,W)
*138: 2 2.8 Cmax(3,4,3) -> Cmax(W,Ta,W)
*139: 0.1 0.99 Cmin(3,4,4) -> Cmin(W,Ta,Ta)
*140: 2 2.8 Cmax(3,4,4) -> Cmax(W,Ta,Ta)
*141: 0.1 0.99 Cmin(3,4,5) -> Cmin(W,Ta,V)
*142: 2 2.8 Cmax(3,4,5) -> Cmax(W,Ta,V)
*143: -0.1 0.1 attrac(3,5) -> attrac(W,V)
*144: -0.1 0.1 repuls(3,5) -> repuls(W,V)
