lz: 407.82197153948010282 Vol: 67910684.377773731947 PE: -28428563.1623892  Pxx: -4.66149455268497e-05 Pyy: -2.81755412364265e-05 Pzz: -0.0798246250542707 
lz: 408.22979351101906786 Vol: 67926377.732057765126 PE: -28430354.2178841  Pxx: 1.33188150982894e-05 Pyy: 3.40243808438464e-05 Pzz: 0.0934093231380032 
lz: 408.63761548255911293 Vol: 67938031.432140976191 PE: -28431582.1875173  Pxx: -0.00013347315995975 Pyy: 2.14167221824969e-05 Pzz: 0.258109432149211 
lz: 409.04543745409807798 Vol: 67953359.534104928374 PE: -28432528.4953359  Pxx: 0.000125697447109149 Pyy: -6.29187666817774e-05 Pzz: 0.424208406954698 
lz: 409.4532594256380662 Vol: 67966207.700056701899 PE: -28433147.5233405  Pxx: 0.000115430770640341 Pyy: -1.12000343263058e-05 Pzz: 0.582273699507841 
lz: 409.86108139717708809 Vol: 67981891.553292810917 PE: -28433615.2649152  Pxx: 5.75950672484369e-05 Pyy: 2.05941919493841e-05 Pzz: 0.738870330668627 
lz: 410.26890336871707632 Vol: 67993858.684728503227 PE: -28433989.6427858  Pxx: -8.94655845399361e-05 Pyy: 4.12764004229401e-05 Pzz: 0.894700827981937 
lz: 410.67672534025609821 Vol: 68006998.345086947083 PE: -28434175.9457152  Pxx: -3.06736454921769e-06 Pyy: -0.000106889316133768 Pzz: 1.04593029170888 
lz: 411.08454731179608643 Vol: 68022234.012354999781 PE: -28434221.0453289  Pxx: -1.41758897582068e-05 Pyy: 3.72095605775231e-05 Pzz: 1.19733454332387 
lz: 411.49236928333510832 Vol: 68034643.790882229805 PE: -28434189.2663459  Pxx: -2.51583349903861e-07 Pyy: -9.83338498921963e-06 Pzz: 1.34813432967922 
lz: 411.90019125487509655 Vol: 68050886.188770741224 PE: -28434103.2952181  Pxx: 5.87856832232184e-05 Pyy: -4.83083917678621e-05 Pzz: 1.49467238435571 
lz: 412.30801322641406159 Vol: 68063146.43554700911 PE: -28433934.1070706  Pxx: 3.33555923092775e-05 Pyy: -0.000113523879658786 Pzz: 1.63995041688511 
lz: 412.71583519795410666 Vol: 68077153.756036609411 PE: -28433590.9792773  Pxx: -8.13118527282206e-06 Pyy: -5.83625287617602e-06 Pzz: 1.78772494848263 
lz: 413.12365716949307171 Vol: 68091183.19861240685 PE: -28433177.0801199  Pxx: -4.07636696116659e-05 Pyy: 1.57050780936014e-05 Pzz: 1.93227054614274 
lz: 413.53147914103311678 Vol: 68106727.994779288769 PE: -28432631.5756366  Pxx: -4.34612701983716e-05 Pyy: 1.86025726801049e-06 Pzz: 2.07343389881911 
lz: 413.93930111257208182 Vol: 68117697.333328634501 PE: -28432115.5142427  Pxx: 1.82198631094558e-05 Pyy: 1.88090437176346e-05 Pzz: 2.21599583168515 
lz: 414.34712308411207005 Vol: 68133124.283653303981 PE: -28431513.5317981  Pxx: 3.30145014728271e-05 Pyy: 3.18877981391407e-05 Pzz: 2.35380081961051 
lz: 414.75494505565109193 Vol: 68145815.566269174218 PE: -28430840.576354  Pxx: 3.74375608806023e-06 Pyy: -0.000127539822120969 Pzz: 2.48756306352077 
lz: 415.16276702719108016 Vol: 68158477.685785740614 PE: -28430126.138478  Pxx: -6.53905791400401e-05 Pyy: -8.05383538330596e-05 Pzz: 2.62282783787056 
lz: 415.57058899873010205 Vol: 68172972.217067614198 PE: -28429363.2130168  Pxx: 2.27821134761834e-05 Pyy: -6.51152225960367e-05 Pzz: 2.75451967488976 
lz: 415.97841097026906709 Vol: 68187253.744743138552 PE: -28428576.2175129  Pxx: 3.9179067217931e-05 Pyy: 3.58208771952478e-05 Pzz: 2.88596420150483 
lz: 416.38623294180911216 Vol: 68199066.62107206881 PE: -28427691.5751206  Pxx: -3.46869631870944e-05 Pyy: 9.06989800022364e-05 Pzz: 3.01638660930327 
lz: 416.79405491334807721 Vol: 68214319.647108837962 PE: -28426676.7490169  Pxx: 3.61487043902444e-05 Pyy: -3.09575101532969e-06 Pzz: 3.14195989302781 
lz: 417.20187688488806543 Vol: 68225459.15524725616 PE: -28425662.6151749  Pxx: -0.000126986861960048 Pyy: -4.95794398974902e-05 Pzz: 3.26860405490878 
lz: 417.60969885642708732 Vol: 68239529.451049268246 PE: -28424598.0362643  Pxx: 6.54497797377153e-05 Pyy: 7.25886494440602e-05 Pzz: 3.38949874464391 
lz: 418.01752082796707555 Vol: 68251386.228832244873 PE: -28423514.3574465  Pxx: 1.42890602352457e-05 Pyy: 8.43251675605357e-05 Pzz: 3.50959121294399 
lz: 418.42534279950609744 Vol: 68264884.336199626327 PE: -28422371.7527556  Pxx: 2.3717420079187e-05 Pyy: 6.34259992346099e-05 Pzz: 3.62476205434424 
lz: 418.83316477104608566 Vol: 68277689.952213674784 PE: -28421185.1322461  Pxx: -0.000115078086640324 Pyy: 7.1643109548765e-05 Pzz: 3.7402422897258 
lz: 419.24098674258510755 Vol: 68291098.813942164183 PE: -28419968.7035468  Pxx: 5.78171323918487e-06 Pyy: 8.32466692955567e-05 Pzz: 3.85389141108524 
lz: 419.64880871412509578 Vol: 68304267.327339276671 PE: -28418683.0478447  Pxx: 3.05977562601545e-05 Pyy: 0.000196673603751435 Pzz: 3.96281058336525 
lz: 420.05663068566406082 Vol: 68313903.576236918569 PE: -28417362.1359548  Pxx: -5.01104070683677e-06 Pyy: -2.33014793835883e-05 Pzz: 4.07306346251922 
lz: 420.46445265720410589 Vol: 68327020.14596927166 PE: -28415991.8312264  Pxx: 4.62120548123105e-06 Pyy: 4.21238412495583e-05 Pzz: 4.18059232533985 
lz: 420.87227462874307093 Vol: 68340328.587923228741 PE: -28414539.0301815  Pxx: 8.43543766420046e-05 Pyy: 3.72816598604523e-05 Pzz: 4.28608367380432 
lz: 421.280096600283116 Vol: 68351161.373600870371 PE: -28413109.842133  Pxx: 9.81484827197586e-05 Pyy: 5.14747019391735e-05 Pzz: 4.38970024849649 
lz: 421.68791857182208105 Vol: 68360476.283621326089 PE: -28411578.6858658  Pxx: -4.98594786597029e-05 Pyy: 3.37919659632377e-05 Pzz: 4.49094433553221 
lz: 422.09574054336206927 Vol: 68376118.375590234995 PE: -28410082.5693408  Pxx: 8.72065916058472e-05 Pyy: 6.58438219436872e-05 Pzz: 4.58733851265154 
lz: 422.50356251490109116 Vol: 68387037.788857489824 PE: -28408585.1913151  Pxx: 9.80221988144006e-05 Pyy: 3.29096734425517e-05 Pzz: 4.68448783108392 
lz: 422.91138448644107939 Vol: 68395968.396219685674 PE: -28406968.5825653  Pxx: 2.57988451157738e-05 Pyy: -3.5976714801018e-05 Pzz: 4.77851267675763 
lz: 423.31920645798010128 Vol: 68409630.792951330543 PE: -28405410.9504428  Pxx: 8.18201076647069e-05 Pyy: 2.42983453500854e-05 Pzz: 4.87142559887452 
lz: 423.7270284295200895 Vol: 68421541.219772771001 PE: -28403752.9203326  Pxx: 4.31229703765449e-05 Pyy: 1.17563072138713e-05 Pzz: 4.96218429046338 
lz: 424.13485040105911139 Vol: 68430794.986300751567 PE: -28402072.9361835  Pxx: -6.33623499466001e-05 Pyy: 1.37373248898313e-05 Pzz: 5.04766438677428 
lz: 424.54267237259909962 Vol: 68440803.792759120464 PE: -28400393.0391067  Pxx: -9.81632936972684e-05 Pyy: -7.26150077511932e-05 Pzz: 5.13316820438496 
lz: 424.95049434413806466 Vol: 68451256.142075926065 PE: -28398699.5510693  Pxx: -6.13376415473933e-06 Pyy: 6.52109081380285e-05 Pzz: 5.21642080919532 
lz: 425.35831631567810973 Vol: 68462561.039121612906 PE: -28396955.2771349  Pxx: 5.47681015438281e-05 Pyy: 3.94571396839194e-05 Pzz: 5.2954031343322 
lz: 425.76613828721707478 Vol: 68472700.652502819896 PE: -28395224.6629868  Pxx: -9.23285909369281e-05 Pyy: -2.13363036516848e-05 Pzz: 5.37494826102697 
lz: 426.173960258757063 Vol: 68483828.234603792429 PE: -28393460.5923466  Pxx: -6.03260852972173e-05 Pyy: 7.03462322240779e-06 Pzz: 5.44966046951543 
lz: 426.58178223029608489 Vol: 68494213.802813321352 PE: -28391718.0219122  Pxx: 3.14494809435987e-05 Pyy: 5.75685198005222e-05 Pzz: 5.51732316218575 
lz: 426.98960420183510678 Vol: 68500350.87728382647 PE: -28389950.3430624  Pxx: 4.682085775978e-06 Pyy: -2.54834964765642e-05 Pzz: 5.58670116875166 
lz: 427.397426173375095 Vol: 68512220.689420044422 PE: -28388145.0800994  Pxx: 5.44248628472571e-06 Pyy: -2.93702704893718e-06 Pzz: 5.65812637231142 
lz: 427.80524814491411689 Vol: 68521931.104283824563 PE: -28386287.8856141  Pxx: -1.88379879761356e-05 Pyy: -1.63768638191119e-05 Pzz: 5.72630226257699 
lz: 428.21307011645410512 Vol: 68531359.336081236601 PE: -28384396.6528109  Pxx: -1.79535663031811e-05 Pyy: -6.80822072031437e-05 Pzz: 5.7910895964099 
lz: 428.62089208799307016 Vol: 68543807.141123622656 PE: -28382467.4959117  Pxx: 9.56898810024141e-05 Pyy: 0.000105589441932833 Pzz: 5.85895176439296 
lz: 429.02871405953311523 Vol: 68549768.048766344786 PE: -28380617.0394587  Pxx: 1.0251746441229e-05 Pyy: 6.87133566738879e-05 Pzz: 5.9153086474772 
lz: 429.43653603107208028 Vol: 68559859.74279281497 PE: -28378791.9494231  Pxx: 5.4323055669594e-06 Pyy: 2.8705308358516e-05 Pzz: 5.9710776509468 
lz: 429.8443580026120685 Vol: 68569064.232968106866 PE: -28376885.5348655  Pxx: 7.53276637425716e-05 Pyy: 0.00011890294155509 Pzz: 6.02153470061146 
lz: 430.25217997415109039 Vol: 68575559.293385282159 PE: -28374930.9481094  Pxx: -2.20846817164963e-05 Pyy: 5.27821007431335e-05 Pzz: 6.07998552983919 
lz: 430.66000194569107862 Vol: 68583521.081726625562 PE: -28373002.929369  Pxx: 5.64811018630234e-05 Pyy: -9.70784887460347e-05 Pzz: 6.12673078774079 
lz: 431.06782391723010051 Vol: 68593177.141991168261 PE: -28371062.9773982  Pxx: -1.23264425640848e-05 Pyy: 3.34452827502218e-08 Pzz: 6.17736925237747 
lz: 431.47564588877008873 Vol: 68600918.273352310061 PE: -28369181.3048117  Pxx: -4.97933227985037e-05 Pyy: 0.000134701985795136 Pzz: 6.22203976237357 
lz: 431.88346786030911062 Vol: 68610032.859227836132 PE: -28367332.9813916  Pxx: 5.191010463864e-05 Pyy: 6.33591731240121e-05 Pzz: 6.26232149135757 
lz: 432.29128983184909885 Vol: 68616072.771622955799 PE: -28365401.320084  Pxx: 7.03047496381972e-06 Pyy: 4.06238950938036e-05 Pzz: 6.30287021513421 
lz: 432.69911180338806389 Vol: 68622685.92956738174 PE: -28363482.8050215  Pxx: 6.46373408465545e-05 Pyy: -3.92025074087951e-05 Pzz: 6.34453174866283 
lz: 433.10693377492810896 Vol: 68631420.153337448835 PE: -28361547.2442631  Pxx: 0.000121517965151458 Pyy: -3.51294040771247e-05 Pzz: 6.3815282832866 
lz: 433.514755746467074 Vol: 68636863.792626038194 PE: -28359603.8185244  Pxx: -0.000163953902201046 Pyy: -5.06578604090124e-05 Pzz: 6.42267966786547 
lz: 433.92257771800706223 Vol: 68643502.746333777905 PE: -28357641.7775101  Pxx: -0.000105769882615314 Pyy: -2.9488836309967e-05 Pzz: 6.45524802580227 
lz: 434.33039968954608412 Vol: 68651135.056012809277 PE: -28355814.1778993  Pxx: 2.43046525748958e-05 Pyy: -0.000114772465040913 Pzz: 6.48379947902228 
lz: 434.73822166108607234 Vol: 68658922.942857608199 PE: -28353946.9005613  Pxx: 7.61730613267903e-05 Pyy: 5.72523983635884e-06 Pzz: 6.50981627716309 
lz: 435.14604363262509423 Vol: 68662306.120651483536 PE: -28352153.8324343  Pxx: -0.000215086644104454 Pyy: -5.31795248420612e-05 Pzz: 6.53636993718667 
lz: 435.55386560416508246 Vol: 68668338.858822569251 PE: -28350318.2477462  Pxx: -0.000128600346464507 Pyy: -3.08827070402096e-06 Pzz: 6.56193891808262 
