lz: 406.98730512926653091 Vol: 67482528.793122693896 PE: -28655082.8193708  Pxx: -2.21325692684151e-05 Pyy: 0.000151476405047172 Pzz: -0.099504581795557 
lz: 407.39429243439650463 Vol: 67500831.950857281685 PE: -28655285.6198337  Pxx: -6.66842715077921e-05 Pyy: -6.97514782165937e-05 Pzz: 0.112901202075996 
lz: 407.80127973952551201 Vol: 67519448.631481558084 PE: -28655715.9159166  Pxx: 2.90026215820953e-05 Pyy: -9.8506865459933e-05 Pzz: 0.326536208113861 
lz: 408.2082670446545194 Vol: 67537228.110576629639 PE: -28655505.410109  Pxx: -8.27860387597131e-05 Pyy: -2.13662076597155e-06 Pzz: 0.512208490990763 
lz: 408.61525434978449312 Vol: 67557257.449343457818 PE: -28655189.4910419  Pxx: -5.70005981134003e-05 Pyy: -4.45141951424909e-05 Pzz: 0.743117367166484 
lz: 409.0222416549135005 Vol: 67576658.785679548979 PE: -28654857.4984883  Pxx: 5.13148506324442e-05 Pyy: -2.36049198992421e-05 Pzz: 0.913674294834703 
lz: 409.42922896004250788 Vol: 67591816.814796537161 PE: -28654540.1252075  Pxx: -0.000130275608400782 Pyy: -0.000159161097443972 Pzz: 1.13093112610567 
lz: 409.83621626517151526 Vol: 67609006.039812758565 PE: -28654049.4890136  Pxx: 6.11655844261718e-06 Pyy: -0.000154132756154976 Pzz: 1.32700810363655 
lz: 410.24320357030148898 Vol: 67630516.838167116046 PE: -28653310.5547241  Pxx: -1.20386009228135e-05 Pyy: 0.000126330271463687 Pzz: 1.51721837026635 
lz: 410.65019087543049636 Vol: 67648340.489726245403 PE: -28652485.4321137  Pxx: -9.37791014326376e-05 Pyy: 1.69713069291945e-05 Pzz: 1.72162825098132 
lz: 411.05717818055950374 Vol: 67664713.279473528266 PE: -28651812.1041132  Pxx: -2.20138484693569e-05 Pyy: -0.000195180666005328 Pzz: 1.90619545638998 
lz: 411.46416548568851113 Vol: 67685951.549475803971 PE: -28651111.5369158  Pxx: -3.91480563924786e-05 Pyy: -9.41047120212728e-05 Pzz: 2.10558298269203 
lz: 411.87115279081854169 Vol: 67702361.045561179519 PE: -28650294.1452957  Pxx: -6.47110356326463e-05 Pyy: -0.000112702939681515 Pzz: 2.29272888692807 
lz: 412.27814009594749223 Vol: 67718822.766643866897 PE: -28649243.252991  Pxx: -0.000105234229450922 Pyy: -4.41073113541779e-05 Pzz: 2.48214450971934 
lz: 412.68512740107649961 Vol: 67740542.58244073391 PE: -28648030.2018869  Pxx: -9.9513681327781e-05 Pyy: 7.10305933534065e-05 Pzz: 2.67171792286916 
lz: 413.09211470620653017 Vol: 67756212.449028044939 PE: -28646680.9673967  Pxx: -0.000121309797512381 Pyy: -0.000105758420430955 Pzz: 2.84759052163792 
lz: 413.49910201133553755 Vol: 67776859.92646959424 PE: -28645391.6193608  Pxx: -4.21554687345068e-05 Pyy: 4.82725209097318e-05 Pzz: 3.04285337271421 
lz: 413.91260111334753446 Vol: 67794912.200596168637 PE: -28644227.5751227  Pxx: 2.85648929203081e-05 Pyy: 0.000182302363599308 Pzz: 3.21860490578979 
lz: 414.32610021535850819 Vol: 67812732.739782691002 PE: -28642796.2508218  Pxx: 7.86775999154814e-05 Pyy: 0.000105599004614755 Pzz: 3.40148776291784 
lz: 414.73959931736953877 Vol: 67828716.487147465348 PE: -28641117.4314442  Pxx: -6.50616842220732e-06 Pyy: 5.20644432740885e-05 Pzz: 3.58179572086016 
lz: 415.15309841938153568 Vol: 67848271.216808274388 PE: -28639383.9655015  Pxx: -0.000178374771936225 Pyy: 1.26534202573429e-05 Pzz: 3.76635225371275 
lz: 415.56659752139250941 Vol: 67865668.934535250068 PE: -28637580.424657  Pxx: 1.3565302153437e-05 Pyy: -9.19708230705064e-05 Pzz: 3.93384873073904 
lz: 415.98009662340353998 Vol: 67884940.411277577281 PE: -28635813.0952451  Pxx: -4.79706042190644e-05 Pyy: -9.8618459363888e-05 Pzz: 4.11915133765016 
lz: 416.39359572541553689 Vol: 67904271.946016147733 PE: -28634053.9005142  Pxx: -1.26095576114324e-07 Pyy: 0.000170465112576305 Pzz: 4.27932408684912 
lz: 416.80709482742651062 Vol: 67920231.001368328929 PE: -28632159.6058872  Pxx: 1.40944582433511e-05 Pyy: 2.35702273815922e-05 Pzz: 4.44848389015158 
lz: 417.22059392943754119 Vol: 67937834.857528477907 PE: -28630183.0105562  Pxx: 5.84236225197007e-06 Pyy: 8.54214537091914e-05 Pzz: 4.61719388655987 
lz: 417.6340930314495381 Vol: 67957128.366871163249 PE: -28628090.7092724  Pxx: -2.51209981566819e-05 Pyy: 5.32342959693917e-05 Pzz: 4.77325824095621 
lz: 418.04759213346051183 Vol: 67973887.928299278021 PE: -28625951.7083624  Pxx: -1.78656941737963e-05 Pyy: 7.88546991515572e-06 Pzz: 4.94130744710912 
lz: 418.4610912354715424 Vol: 67991235.531358316541 PE: -28623680.1377497  Pxx: 0.000185829194624424 Pyy: 9.15990732497122e-05 Pzz: 5.08734210529332 
lz: 418.87459033748353932 Vol: 68010700.824636042118 PE: -28621459.7042728  Pxx: 8.53085116284381e-05 Pyy: 6.61446906867292e-05 Pzz: 5.24834196604284 
lz: 419.28808943949451304 Vol: 68022622.729247450829 PE: -28619161.2403445  Pxx: -0.000130705915340404 Pyy: 4.16333482514769e-06 Pzz: 5.39844376088739 
lz: 419.70158854150650996 Vol: 68042144.110344544053 PE: -28616829.1023361  Pxx: 8.77190392950876e-05 Pyy: -3.65010467842125e-05 Pzz: 5.54921526990924 
lz: 420.11508764351754053 Vol: 68058684.493287697434 PE: -28614421.497849  Pxx: -4.84066684626696e-05 Pyy: 5.99618068111519e-06 Pzz: 5.69684620693551 
lz: 420.52858674552851426 Vol: 68075428.003280177712 PE: -28611946.2009528  Pxx: -4.14535087235249e-05 Pyy: -5.03545111256801e-05 Pzz: 5.835912781684 
lz: 420.94208584754051117 Vol: 68092331.218636274338 PE: -28609386.1759209  Pxx: 6.55949572935532e-05 Pyy: -3.66128975617703e-05 Pzz: 5.97983137330737 
lz: 421.35558494955154174 Vol: 68107344.698660954833 PE: -28606777.4087684  Pxx: -4.21703695121519e-05 Pyy: -0.00012454404529304 Pzz: 6.11536007637089 
lz: 421.76908405156251547 Vol: 68123251.106597706676 PE: -28604131.2370914  Pxx: -3.49864098261587e-05 Pyy: -0.000104551360869023 Pzz: 6.24753103529748 
lz: 422.18258315357451238 Vol: 68138959.910870760679 PE: -28601423.3243111  Pxx: -1.93485319036609e-05 Pyy: -8.82703035746136e-05 Pzz: 6.38387742570578 
lz: 422.59608225558554295 Vol: 68155603.047785058618 PE: -28598707.8382017  Pxx: 2.5706661312387e-05 Pyy: -2.08072242750893e-05 Pzz: 6.50584265809498 
lz: 423.00958135759651668 Vol: 68172700.266559332609 PE: -28595911.3299591  Pxx: -1.57939770091533e-05 Pyy: 4.18498859075242e-05 Pzz: 6.63608968664578 
lz: 423.42308045960851359 Vol: 68188639.108154863119 PE: -28593180.294109  Pxx: 5.58239464798582e-05 Pyy: -2.54845743764231e-05 Pzz: 6.75511280032707 
lz: 423.83657956161948732 Vol: 68202107.771853283048 PE: -28590322.05408  Pxx: -6.78061334201213e-05 Pyy: 4.31761518958521e-05 Pzz: 6.8597981983627 
lz: 424.25007866363051789 Vol: 68217077.165701806545 PE: -28587487.4704091  Pxx: -0.000118458907459336 Pyy: 8.43585720454807e-05 Pzz: 6.9895495498861 
lz: 424.66357776564251481 Vol: 68231123.23395639658 PE: -28584519.4336246  Pxx: -6.97571049512431e-05 Pyy: 6.41424444423058e-05 Pzz: 7.08267498964486 
lz: 425.07707686765348853 Vol: 68245217.085795938969 PE: -28581612.8643678  Pxx: 3.19301803963554e-05 Pyy: -5.8672881433106e-05 Pzz: 7.21169864622564 
lz: 425.49057596966451911 Vol: 68260975.358145877719 PE: -28578608.6773824  Pxx: -4.96059890260893e-05 Pyy: -7.5544671972822e-06 Pzz: 7.30086183984183 
lz: 425.90407507167651602 Vol: 68274552.177995145321 PE: -28575641.3418215  Pxx: 3.45094141416114e-06 Pyy: 8.08170008086939e-05 Pzz: 7.40603877112795 
lz: 426.31757417368748975 Vol: 68288373.867596805096 PE: -28572574.4134242  Pxx: -7.15467835857781e-05 Pyy: -8.23343864115417e-05 Pzz: 7.50463653707159 
lz: 426.73107327569852032 Vol: 68302916.280438601971 PE: -28569495.7805411  Pxx: -9.86838663094912e-05 Pyy: -5.06254173412153e-06 Pzz: 7.57940941503715 
lz: 427.14457237771051723 Vol: 68315934.794875442982 PE: -28566472.3287999  Pxx: -5.9171263676523e-05 Pyy: -2.13971619532504e-05 Pzz: 7.68848554074427 
lz: 427.55807147972149096 Vol: 68329755.554191306233 PE: -28563377.5019132  Pxx: 0.000209380918320886 Pyy: 3.21849996738238e-05 Pzz: 7.7549882499571 
lz: 427.97157058173252153 Vol: 68341203.194083333015 PE: -28560319.3431791  Pxx: -7.56960157852376e-05 Pyy: 2.65307142866453e-06 Pzz: 7.8480639883453 
lz: 428.38506968374451844 Vol: 68355823.657629176974 PE: -28557213.8472647  Pxx: 1.98856613902631e-05 Pyy: -4.76542878923674e-05 Pzz: 7.9238934813393 
lz: 428.79856878575549217 Vol: 68366499.022486165166 PE: -28554042.4897171  Pxx: -8.68297204419214e-05 Pyy: -7.92450772690648e-05 Pzz: 7.99035616594541 
lz: 429.21206788776652274 Vol: 68379757.964884161949 PE: -28550889.0768341  Pxx: -1.18607865096199e-05 Pyy: -2.17259378239201e-05 Pzz: 8.07758676628015 
lz: 429.62556698977851966 Vol: 68392471.362831711769 PE: -28547689.9672785  Pxx: -5.34580822919973e-06 Pyy: 0.000113005324160564 Pzz: 8.13082144403225 
lz: 430.03906609178949338 Vol: 68403792.310832157731 PE: -28544543.7892394  Pxx: -5.40320290791552e-05 Pyy: 3.59218798423891e-05 Pzz: 8.2053118357792 
lz: 430.45256519380052396 Vol: 68415080.482529819012 PE: -28541383.5444849  Pxx: -3.24357965835642e-06 Pyy: -0.000172481521896079 Pzz: 8.25580395493403 
lz: 430.86606429581252087 Vol: 68425491.97135861218 PE: -28538313.1243159  Pxx: 0.000129398127452898 Pyy: -5.58026161057921e-05 Pzz: 8.30480750603799 
lz: 431.2795633978234946 Vol: 68435333.599043294787 PE: -28535334.5166303  Pxx: 2.10984501138482e-05 Pyy: 3.8331769311977e-05 Pzz: 8.35900086786039 
lz: 431.69306249983452517 Vol: 68443303.367700427771 PE: -28532401.1819364  Pxx: -9.96818004947131e-05 Pyy: -6.66405800227533e-05 Pzz: 8.38176808468059 
lz: 432.10656160184652208 Vol: 68453753.504306748509 PE: -28529652.001332  Pxx: 6.50754853961687e-05 Pyy: -2.38419617958546e-05 Pzz: 8.42171388071641 
lz: 432.52006070385749581 Vol: 68457878.037416473031 PE: -28527326.4071654  Pxx: 5.86274255853151e-05 Pyy: 1.63594128736486e-05 Pzz: 8.41893082609567 
lz: 432.93355980586852638 Vol: 68463372.605438947678 PE: -28524895.577952  Pxx: -2.06242386677668e-05 Pyy: -1.8589259749682e-05 Pzz: 8.4349016845492 
lz: 433.34705890788052329 Vol: 68471226.955591842532 PE: -28522366.3692605  Pxx: -4.12632989603958e-05 Pyy: 6.79575195008142e-05 Pzz: 8.46781163151563 
lz: 433.76055800989149702 Vol: 68475955.850044026971 PE: -28519584.7023975  Pxx: -2.09260130080876e-05 Pyy: -7.89393741642637e-05 Pzz: 8.46965338549635 
lz: 434.17405711190252759 Vol: 68485275.373035922647 PE: -28516979.2925935  Pxx: 8.71053243527079e-05 Pyy: -0.000111063180372705 Pzz: 8.49752744904512 
lz: 434.58755621391452451 Vol: 68486786.962898209691 PE: -28514547.4755579  Pxx: -2.30775626737757e-05 Pyy: -7.67130898228031e-05 Pzz: 8.48934875396751 
lz: 435.00105531592549823 Vol: 68486865.365612387657 PE: -28513032.6433103  Pxx: 8.50301750164291e-05 Pyy: 6.15407806203362e-05 Pzz: 8.44535013914762 
lz: 435.41455441793652881 Vol: 68470331.437028840184 PE: -28513042.9563656  Pxx: 4.84164131522562e-05 Pyy: -3.72352946359692e-05 Pzz: 8.34073651480077 
lz: 435.82805351994852572 Vol: 68438518.675233751535 PE: -28515792.6569884  Pxx: 3.78431938475379e-05 Pyy: -0.00011197072373288 Pzz: 8.11890849639869 
lz: 436.24155262195949945 Vol: 68397343.766732558608 PE: -28520064.8540869  Pxx: 0.000118463945452093 Pyy: -4.02187924691279e-05 Pzz: 7.79852876470291 
lz: 436.65505172397053002 Vol: 68353225.015996858478 PE: -28525889.2997675  Pxx: 7.97988273108787e-05 Pyy: 8.40342852065752e-05 Pzz: 7.45956957885244 
lz: 437.06855082598252693 Vol: 68318659.472611740232 PE: -28530598.2005091  Pxx: -3.52693822167196e-05 Pyy: -1.728944335695e-05 Pzz: 7.17456023048634 
lz: 437.48204992799350066 Vol: 68305183.881966516376 PE: -28532885.1315377  Pxx: -1.59128370918737e-05 Pyy: -3.54920519974408e-05 Pzz: 7.05810242491701 
lz: 437.89554903000453123 Vol: 68296757.537343993783 PE: -28534084.2530975  Pxx: -0.000153044454772914 Pyy: -7.0230767953672e-05 Pzz: 6.96689971579619 
lz: 438.30904813201652814 Vol: 68297833.73577465117 PE: -28534194.0006904  Pxx: 9.28440149943175e-05 Pyy: 0.000161964906106115 Pzz: 6.94299240881532 
lz: 438.72254723402750187 Vol: 68295675.462798073888 PE: -28533762.9827449  Pxx: -3.27974490110103e-05 Pyy: 2.06698912007845e-05 Pzz: 6.92342083535335 
lz: 439.13604633603853244 Vol: 68298514.806423708797 PE: -28532856.0323287  Pxx: 3.81629764466728e-05 Pyy: -0.000119712745502927 Pzz: 6.93723671383535 
lz: 439.54954543805052936 Vol: 68299288.147785648704 PE: -28532012.5656461  Pxx: -5.1555829502631e-05 Pyy: -7.91880701046421e-05 Pzz: 6.95402101198375 
lz: 439.96304454006150308 Vol: 68304477.787502661347 PE: -28530829.1054652  Pxx: 2.44549466953447e-05 Pyy: 0.000181047486991239 Pzz: 6.96568982344435 
lz: 440.37654364207253366 Vol: 68306722.131566897035 PE: -28529652.4073692  Pxx: -6.19863498657723e-06 Pyy: 2.00352791476688e-06 Pzz: 6.98209399850356 
lz: 440.79004274408453057 Vol: 68305321.939042985439 PE: -28529015.1947163  Pxx: 7.80419482800362e-05 Pyy: -7.65393282669526e-05 Pzz: 6.95972835858696 
lz: 441.2035418460955043 Vol: 68304879.016918584704 PE: -28528504.8030738  Pxx: -0.000101940574875802 Pyy: 6.8520774558526e-05 Pzz: 6.95331584846408 
lz: 441.61704094810653487 Vol: 68306933.292757570744 PE: -28527530.7392398  Pxx: -9.153278863799e-06 Pyy: -1.12811911505939e-05 Pzz: 6.94759590399926 
lz: 442.03054005011853178 Vol: 68311457.760809957981 PE: -28526371.2365771  Pxx: -5.17436268412663e-06 Pyy: 1.46578248043716e-05 Pzz: 6.96181755546621 
