lz: 406.82397499089609028 Vol: 67409653.835106998682 PE: -28704040.8674155  Pxx: 2.58400695834551e-05 Pyy: -6.32130730007441e-05 Pzz: -0.0672405362240044 
lz: 407.23079896588706106 Vol: 67427642.646642759442 PE: -28704340.8707958  Pxx: -1.41765748791805e-05 Pyy: 5.50132611810245e-06 Pzz: 0.142669728742029 
lz: 407.63762294087808868 Vol: 67446951.091004014015 PE: -28703960.790432  Pxx: -8.24403509665087e-06 Pyy: -5.37625067260988e-05 Pzz: 0.372723712297363 
lz: 408.04444691586905947 Vol: 67465650.546488329768 PE: -28703543.0015447  Pxx: 0.000155902422964576 Pyy: 0.000136437251341282 Pzz: 0.581292983092307 
lz: 408.45127089086008709 Vol: 67487032.875547736883 PE: -28702717.6519003  Pxx: 7.96536562807324e-05 Pyy: -1.16709046950776e-05 Pzz: 0.798939660133228 
lz: 408.85809486585009154 Vol: 67503640.612081646919 PE: -28701777.4945137  Pxx: 2.04000558155333e-05 Pyy: -0.000144118482406281 Pzz: 1.01194959727329 
lz: 409.26491884084106232 Vol: 67525634.871491149068 PE: -28701134.2182037  Pxx: 3.33051469590873e-05 Pyy: 9.04822505227634e-05 Pzz: 1.22681567957004 
lz: 409.67174281583208995 Vol: 67543268.080876335502 PE: -28699980.5293411  Pxx: -8.68675481064242e-05 Pyy: -1.34974524677214e-05 Pzz: 1.43588699165529 
lz: 410.07856679082306073 Vol: 67563879.191529974341 PE: -28699073.6520999  Pxx: -6.96695372269689e-06 Pyy: 1.33807862059694e-05 Pzz: 1.64576377541663 
lz: 410.48539076581408835 Vol: 67585381.659269094467 PE: -28698007.0562169  Pxx: -1.75564222407464e-06 Pyy: -2.40121519147491e-05 Pzz: 1.86144776855306 
lz: 410.89221474080505914 Vol: 67601806.554724246264 PE: -28696772.5940432  Pxx: -5.6013124002423e-05 Pyy: -8.92096760398811e-05 Pzz: 2.04993971381874 
lz: 411.29903871579608676 Vol: 67624369.892863661051 PE: -28696004.882224  Pxx: 5.33732181796513e-05 Pyy: 1.8941022876389e-05 Pzz: 2.2844443857285 
lz: 411.70586269078705755 Vol: 67642378.186897397041 PE: -28694922.1176248  Pxx: -2.25521521594828e-05 Pyy: -8.7456280760181e-05 Pzz: 2.45773966380589 
lz: 412.11268666577808517 Vol: 67663888.236979961395 PE: -28694083.0937261  Pxx: -8.87236096347853e-05 Pyy: -1.99063008834925e-07 Pzz: 2.68795542512033 
lz: 412.51951064076808962 Vol: 67681576.190393447876 PE: -28693021.9710192  Pxx: -8.57802095302854e-06 Pyy: 3.59334915736038e-07 Pzz: 2.86986124565674 
lz: 412.9263346157590604 Vol: 67704170.760639116168 PE: -28691872.6804507  Pxx: -0.000100183745746792 Pyy: -9.06294794310961e-05 Pzz: 3.08204684398227 
lz: 413.33315859075008802 Vol: 67722470.895278692245 PE: -28690953.122356  Pxx: 9.36919353461964e-05 Pyy: -6.10570812471583e-05 Pzz: 3.27501541122835 
lz: 413.73998256574105881 Vol: 67739180.522113263607 PE: -28689616.1119586  Pxx: -2.47796782039314e-05 Pyy: -4.23549935489331e-06 Pzz: 3.4737140389217 
lz: 414.14680654073208643 Vol: 67758834.62505865097 PE: -28688164.3636915  Pxx: -8.30730562297126e-05 Pyy: -2.00622558455248e-05 Pzz: 3.66635716897798 
lz: 414.55363051572305721 Vol: 67776930.639398291707 PE: -28686542.034776  Pxx: 4.12102695555217e-05 Pyy: -5.87311289343381e-05 Pzz: 3.85915931678622 
lz: 414.96045449071408484 Vol: 67796665.208501890302 PE: -28684619.2203785  Pxx: 1.88865559895404e-05 Pyy: 2.72152659565074e-05 Pzz: 4.04632983049421 
lz: 415.36727846570505562 Vol: 67815148.250153720379 PE: -28682741.5134182  Pxx: -1.56238306965999e-05 Pyy: -5.9585530056318e-06 Pzz: 4.22955115237555 
lz: 415.77410244069608325 Vol: 67835901.499187931418 PE: -28680545.7853052  Pxx: 4.68443308630047e-05 Pyy: -5.2490283888741e-05 Pzz: 4.41508778873508 
lz: 416.18092641568705403 Vol: 67852507.74567233026 PE: -28678159.4841464  Pxx: 1.1329381108081e-05 Pyy: -0.000132840454455569 Pzz: 4.59088807594578 
lz: 416.58775039067705848 Vol: 67870547.582422032952 PE: -28675896.1339392  Pxx: -9.34340817193255e-05 Pyy: -9.73413056899347e-05 Pzz: 4.76993648463565 
lz: 416.9945743656680861 Vol: 67892216.90377381444 PE: -28673289.0356964  Pxx: 7.39265168407166e-05 Pyy: 2.85633277462618e-05 Pzz: 4.94714518607035 
lz: 417.40139834065905688 Vol: 67909384.468461468816 PE: -28670946.1085286  Pxx: -6.91253819177746e-05 Pyy: 2.99002877792297e-07 Pzz: 5.10735421937933 
lz: 417.80822231565008451 Vol: 67928450.343610599637 PE: -28668619.8281245  Pxx: 1.81208047973658e-05 Pyy: -1.06631236284014e-05 Pzz: 5.29325763252327 
lz: 418.21504629064105529 Vol: 67945181.30964332819 PE: -28666182.2175241  Pxx: -0.000153610233624238 Pyy: 4.59936915770145e-06 Pzz: 5.44918522628292 
lz: 418.62187026563208292 Vol: 67968873.078951209784 PE: -28664035.8145758  Pxx: -3.55918420857467e-05 Pyy: 0.000138104402550632 Pzz: 5.62749439778041 
lz: 419.0286942406230537 Vol: 67983674.68969167769 PE: -28661679.1443472  Pxx: -9.42610030202899e-05 Pyy: -0.000179626493953842 Pzz: 5.79123436854652 
lz: 419.43551821561408133 Vol: 68002995.073736041784 PE: -28659317.5871238  Pxx: -3.67290922263721e-05 Pyy: 3.25208141659045e-05 Pzz: 5.94654706725168 
lz: 419.84234219060505211 Vol: 68020760.094175174832 PE: -28657137.8275623  Pxx: -0.000101514727713995 Pyy: -1.72979302423758e-05 Pzz: 6.12592729220949 
lz: 420.24916616559607974 Vol: 68039322.742399945855 PE: -28654507.146146  Pxx: 7.49540838870466e-05 Pyy: 0.00012324798071843 Pzz: 6.2589218111873 
lz: 420.65599014058608418 Vol: 68056299.567355245352 PE: -28651965.0387503  Pxx: 0.000100316079121935 Pyy: 5.00698143063591e-05 Pzz: 6.42896331864803 
lz: 421.06281411557705496 Vol: 68071433.718933850527 PE: -28649095.4229316  Pxx: -0.000123009070060149 Pyy: 1.66670624712563e-05 Pzz: 6.56689664221972 
lz: 421.46963809056808259 Vol: 68089600.744169458747 PE: -28645976.9467011  Pxx: -2.53093435741188e-05 Pyy: 0.00010023114642224 Pzz: 6.71310702358282 
lz: 421.87646206555905337 Vol: 68108085.256128117442 PE: -28642910.2956289  Pxx: 2.63951839730958e-06 Pyy: -6.38731744990758e-06 Pzz: 6.86529143774324 
lz: 422.283286040550081 Vol: 68123365.510022819042 PE: -28639551.5455898  Pxx: -6.38091322404837e-06 Pyy: -4.20713451032154e-05 Pzz: 6.98679116231396 
lz: 422.69011001554105178 Vol: 68142620.465227976441 PE: -28636363.2768668  Pxx: -1.5702669631659e-05 Pyy: 2.06147822177528e-05 Pzz: 7.14855635966595 
lz: 423.09693399053207941 Vol: 68157632.77181814611 PE: -28633127.366263  Pxx: -2.11577566191705e-05 Pyy: 7.35047045436625e-06 Pzz: 7.25398324933565 
lz: 423.50375796552305019 Vol: 68175342.825874343514 PE: -28630054.2281255  Pxx: 3.52504911882347e-05 Pyy: -5.98919363647274e-05 Pzz: 7.40253780030669 
lz: 423.91058194051407781 Vol: 68191318.419236913323 PE: -28627043.8555116  Pxx: -8.68185723335274e-05 Pyy: 2.87666938624008e-05 Pzz: 7.51775172475233 
lz: 424.31740591550408226 Vol: 68206545.086492061615 PE: -28624134.6078249  Pxx: -6.97308694848672e-06 Pyy: -6.44541786177523e-05 Pzz: 7.63790267858715 
lz: 424.72422989049505304 Vol: 68220029.110731214285 PE: -28621103.8217528  Pxx: -2.25643075092482e-06 Pyy: -1.72384844346339e-05 Pzz: 7.76236574468255 
lz: 425.13105386548608067 Vol: 68236757.696938171983 PE: -28617985.7232753  Pxx: 1.72810879710897e-05 Pyy: 3.59028565286325e-05 Pzz: 7.85936355889399 
lz: 425.53787784047705145 Vol: 68251514.265699774027 PE: -28614784.4341774  Pxx: 1.09040741323953e-05 Pyy: 6.79317286052102e-05 Pzz: 7.96935775820471 
lz: 425.94470181546807908 Vol: 68266355.6921620965 PE: -28611362.657856  Pxx: -2.63543217347276e-05 Pyy: 8.18260246847127e-05 Pzz: 8.07015584796483 
lz: 426.35152579045904986 Vol: 68278218.11323608458 PE: -28607947.5641681  Pxx: 9.60669052733219e-06 Pyy: -3.75388956404622e-05 Pzz: 8.14905698103116 
lz: 426.75834976545007748 Vol: 68290704.574437513947 PE: -28604811.9605848  Pxx: 5.04743685402642e-05 Pyy: -8.50062582558299e-05 Pzz: 8.24077663799628 
lz: 427.16517374044104827 Vol: 68303840.529872193933 PE: -28601536.6260267  Pxx: 6.79825089479779e-05 Pyy: -0.000104300170818025 Pzz: 8.31506015596259 
lz: 427.57199771543207589 Vol: 68313220.610812470317 PE: -28598708.2783723  Pxx: -0.000159438049256806 Pyy: -0.000105055478697438 Pzz: 8.36837993101459 
lz: 427.97882169042304668 Vol: 68325661.549741968513 PE: -28596053.7457843  Pxx: -0.000112228925171388 Pyy: -2.67631286188957e-05 Pzz: 8.45818704787331 
lz: 428.38564566541305112 Vol: 68332545.241788461804 PE: -28593599.39548  Pxx: 1.2598545680138e-05 Pyy: 6.74861345306527e-05 Pzz: 8.47124847278729 
lz: 428.79246964040407875 Vol: 68343599.487093821168 PE: -28591180.6267507  Pxx: 2.09023368575163e-05 Pyy: 5.82663045998877e-05 Pzz: 8.55006960743827 
lz: 429.19929361539504953 Vol: 68352228.688082873821 PE: -28588345.1963485  Pxx: -1.31982450330664e-05 Pyy: -4.07525604813095e-06 Pzz: 8.59888060057983 
lz: 429.60611759038607715 Vol: 68362918.153162360191 PE: -28585302.9712158  Pxx: -7.58932864104619e-05 Pyy: 2.46083127797236e-05 Pzz: 8.64370214851541 
lz: 430.01294156537704794 Vol: 68370954.978086784482 PE: -28582292.5701238  Pxx: -0.000108099804523979 Pyy: 6.07169611248386e-05 Pzz: 8.70187130929703 
lz: 430.41976554036807556 Vol: 68380955.124398291111 PE: -28579319.99001  Pxx: 5.82378312855917e-05 Pyy: 4.81716836471705e-05 Pzz: 8.74112639944957 
lz: 430.82658951535904635 Vol: 68386654.334178298712 PE: -28576601.0596408  Pxx: -9.0849448787516e-08 Pyy: 1.35080941385458e-05 Pzz: 8.76549580503811 
lz: 431.23341349035007397 Vol: 68392620.30494017899 PE: -28574455.0949266  Pxx: 8.36221170692284e-05 Pyy: -5.54254456501703e-05 Pzz: 8.80792086874018 
lz: 431.64023746534104475 Vol: 68394679.632137149572 PE: -28572926.1087986  Pxx: -0.000150493574378154 Pyy: -1.27755375103933e-05 Pzz: 8.80464537032175 
lz: 432.0470614403310492 Vol: 68398374.604238197207 PE: -28571666.1282684  Pxx: 2.89528114242898e-05 Pyy: -4.73319482057602e-05 Pzz: 8.80914448268066 
lz: 432.45388541532207682 Vol: 68403324.249220564961 PE: -28570217.9683169  Pxx: -7.70149611179401e-05 Pyy: -1.1276006546882e-05 Pzz: 8.85519743949942 
lz: 432.86070939031304761 Vol: 68408727.945409491658 PE: -28568170.7329544  Pxx: -3.90231743938415e-06 Pyy: 6.6886314893531e-05 Pzz: 8.85058887656536 
lz: 433.26753336530407523 Vol: 68414427.053539246321 PE: -28566181.0975761  Pxx: -0.000107498887150312 Pyy: 3.96582395127582e-05 Pzz: 8.87645868333261 
lz: 433.67435734029504601 Vol: 68417272.861673638225 PE: -28563989.1029136  Pxx: -0.000143427598627347 Pyy: -5.7540986897383e-05 Pzz: 8.89267792449066 
lz: 434.08118131528607364 Vol: 68422204.649358987808 PE: -28561885.8715458  Pxx: 9.39820851977329e-05 Pyy: 9.55348641435278e-05 Pzz: 8.88309749607789 
lz: 434.48800529027704442 Vol: 68420515.614477276802 PE: -28560813.1163765  Pxx: 5.20229704149969e-05 Pyy: 0.000120850327792099 Pzz: 8.86569600888802 
lz: 434.89482926526807205 Vol: 68420321.899499341846 PE: -28559379.3011662  Pxx: 1.71822905935314e-06 Pyy: 1.84031364067531e-06 Pzz: 8.84770268181167 
lz: 435.30165324025904283 Vol: 68412578.650392442942 PE: -28558953.0450855  Pxx: 8.52194742559581e-06 Pyy: 9.90683695826388e-06 Pzz: 8.76549433602662 
lz: 435.70847721525007046 Vol: 68403172.922632470727 PE: -28559445.2088929  Pxx: -1.13166256371669e-05 Pyy: -6.71855282129056e-05 Pzz: 8.67927237822826 
lz: 436.1153011902400749 Vol: 68393864.831708535552 PE: -28559770.9948204  Pxx: -9.05406710111057e-05 Pyy: -0.000127451018518636 Pzz: 8.58640045455921 
lz: 436.52212516523104568 Vol: 68375346.443174228072 PE: -28561042.8646129  Pxx: -1.21101921922017e-05 Pyy: -3.95007036452975e-05 Pzz: 8.43464518820617 
lz: 436.92894914022207331 Vol: 68363577.434427127242 PE: -28562226.578079  Pxx: 0.000145299616441724 Pyy: -0.000116727771217534 Pzz: 8.3173851164615 
lz: 437.33577311521304409 Vol: 68350231.660240247846 PE: -28563230.9732568  Pxx: -0.000100264660702996 Pyy: -0.00010016000967454 Pzz: 8.20247131920097 
lz: 437.74259709020407172 Vol: 68343406.087345227599 PE: -28563786.3419903  Pxx: -0.000165799861579218 Pyy: -1.94395500606652e-06 Pzz: 8.11529800954949 
lz: 438.1494210651950425 Vol: 68339990.79095441103 PE: -28563692.0334475  Pxx: -9.1533195812784e-05 Pyy: -5.28319330888536e-05 Pzz: 8.08320797131317 
lz: 438.55624504018607013 Vol: 68341114.889927357435 PE: -28562958.6746112  Pxx: 0.000142092478510281 Pyy: 4.97357839040133e-05 Pzz: 8.055400886325 
lz: 438.96306901517704091 Vol: 68336576.881863951683 PE: -28562126.1207207  Pxx: -6.33576179681737e-05 Pyy: 5.52055949177268e-05 Pzz: 8.02646666862545 
lz: 439.36989299016806854 Vol: 68337974.672070294619 PE: -28561107.1836649  Pxx: 0.000101298956722913 Pyy: 8.03223099430781e-05 Pzz: 8.02485781935199 
lz: 439.77671696515903932 Vol: 68338329.890238538384 PE: -28560304.5917777  Pxx: 3.8111656075531e-05 Pyy: -2.1656030981046e-06 Pzz: 7.98400724795112 
lz: 440.18354094014904376 Vol: 68336399.19026888907 PE: -28559815.2487518  Pxx: 0.000190909983061136 Pyy: 2.88196414579753e-06 Pzz: 7.95675123330014 
lz: 440.59036491514007139 Vol: 68337620.943583130836 PE: -28558848.3207808  Pxx: 0.000125090709968744 Pyy: -4.36155855868585e-05 Pzz: 7.96078179780834 
lz: 440.99718889013104217 Vol: 68337011.558951109648 PE: -28557869.9831442  Pxx: -4.53542436220132e-05 Pyy: -2.14474963789454e-05 Pzz: 7.95890778271981 
lz: 441.4040128651220698 Vol: 68338702.968631833792 PE: -28557014.4089512  Pxx: 6.020366950686e-05 Pyy: -1.3475306604521e-05 Pzz: 7.95195553078189 
lz: 441.81083684011304058 Vol: 68338623.299356654286 PE: -28556633.3194107  Pxx: 8.84139586273518e-05 Pyy: 0.000153350861676182 Pzz: 7.92208960688445 
lz: 442.21766081510406821 Vol: 68331087.940725058317 PE: -28556453.5051278  Pxx: -2.73837095131692e-05 Pyy: -0.000135260204057201 Pzz: 7.87442954971974 
lz: 442.62448479009503899 Vol: 68329105.146963298321 PE: -28556358.7138031  Pxx: -5.2211876358033e-05 Pyy: 9.64885446322053e-05 Pzz: 7.82870201554711 
lz: 443.03130876508606661 Vol: 68328653.355819627643 PE: -28556024.1674584  Pxx: 5.71744954752586e-05 Pyy: -8.2040653924022e-06 Pzz: 7.78571472606958 
lz: 443.43813274007709424 Vol: 68322072.472152546048 PE: -28555567.1652904  Pxx: 4.76814405880716e-05 Pyy: -0.000132890618729138 Pzz: 7.76199990681184 
lz: 443.84495671506704184 Vol: 68325562.564105957747 PE: -28554759.5517494  Pxx: -1.85480087432808e-05 Pyy: -1.10263608359984e-05 Pzz: 7.75282469442631 
lz: 444.25178069005806947 Vol: 68321866.191538438201 PE: -28554086.9073162  Pxx: 2.24638439904383e-06 Pyy: 0.000114053815476005 Pzz: 7.72168176941876 
lz: 444.65860466504904025 Vol: 68317509.711555883288 PE: -28554280.4595607  Pxx: 5.68720248281223e-05 Pyy: -2.55206206430108e-05 Pzz: 7.68103313441619 
lz: 445.06542864004006788 Vol: 68308825.989358067513 PE: -28554841.2512413  Pxx: -2.93262085858479e-05 Pyy: 2.85745581152891e-05 Pzz: 7.59733589638794 
lz: 445.47225261503103866 Vol: 68300984.716742873192 PE: -28555294.440233  Pxx: -5.29670034902765e-06 Pyy: 5.87084132175267e-05 Pzz: 7.52894086257158 
lz: 445.87907659002206628 Vol: 68293991.251534074545 PE: -28555916.1727286  Pxx: 7.15228831744096e-05 Pyy: 5.7560591708161e-07 Pzz: 7.46036751608558 
lz: 446.28590056501309391 Vol: 68277940.124533876777 PE: -28557327.4065302  Pxx: -4.81407558121242e-05 Pyy: -8.05088432114868e-05 Pzz: 7.33980619076414 
lz: 446.69272454000406469 Vol: 68279322.588833093643 PE: -28557555.9148029  Pxx: -7.14861791438323e-05 Pyy: 8.63931182098764e-05 Pzz: 7.30603859793069 
lz: 447.09954851499509232 Vol: 68279361.690792530775 PE: -28557160.5575698  Pxx: 5.25607502938598e-06 Pyy: 0.000111311778845849 Pzz: 7.28603473012214 
lz: 447.50637248998503992 Vol: 68280679.56237475574 PE: -28556608.3582097  Pxx: 4.65731876155882e-05 Pyy: 0.00012396291846111 Pzz: 7.27813191563198 
lz: 447.91319646497606755 Vol: 68284009.838968917727 PE: -28555339.0376242  Pxx: 5.80963522997221e-05 Pyy: 0.00011966142837289 Pzz: 7.30615824166207 
lz: 448.32002043996703833 Vol: 68285639.246444255114 PE: -28554037.3583068  Pxx: -3.44826999519535e-05 Pyy: -5.21288963834207e-05 Pzz: 7.31850989376559 
lz: 448.72684441495806595 Vol: 68288776.852335453033 PE: -28552817.8819074  Pxx: -2.72330999545002e-05 Pyy: -1.93220648879826e-05 Pzz: 7.33663392911889 
lz: 449.13366838994909358 Vol: 68287761.601212978363 PE: -28552038.613558  Pxx: 7.50371901898059e-05 Pyy: 2.07472401185286e-05 Pzz: 7.32463674706485 
lz: 449.54049236494006436 Vol: 68289298.482227131724 PE: -28551295.6042444  Pxx: -4.37572440428215e-05 Pyy: 2.11507927824138e-05 Pzz: 7.31789398070484 
lz: 449.94731633993109199 Vol: 68288457.200245916843 PE: -28550548.64341  Pxx: -4.35231175579638e-06 Pyy: -0.000140078384365255 Pzz: 7.31613556954743 
lz: 450.35414031492206277 Vol: 68290542.83569483459 PE: -28550139.0903933  Pxx: 5.12554178452295e-06 Pyy: 0.000123141688476455 Pzz: 7.28752596673777 
lz: 450.7609642899130904 Vol: 68290781.126994803548 PE: -28549309.9107391  Pxx: -0.000124826632845113 Pyy: -3.44009212214338e-05 Pzz: 7.29106724108725 
lz: 451.16778826490406118 Vol: 68290282.640538692474 PE: -28548779.9103651  Pxx: 6.91838813684734e-05 Pyy: 2.07635561422919e-05 Pzz: 7.2715016579171 
lz: 451.57461223989406562 Vol: 68289296.033494636416 PE: -28547897.0812615  Pxx: 2.2604953235723e-05 Pyy: -0.000129274347404954 Pzz: 7.27464890578722 
lz: 451.98143621488509325 Vol: 68294185.776508674026 PE: -28546797.2321021  Pxx: 4.81420127074536e-05 Pyy: -6.64066443242564e-05 Pzz: 7.29831411976061 
lz: 452.38826018987606403 Vol: 68295439.631021723151 PE: -28545687.0085079  Pxx: -1.01703991129114e-05 Pyy: -9.63860355072889e-05 Pzz: 7.30930002115092 
lz: 452.79508416486709166 Vol: 68301282.974532723427 PE: -28544399.483323  Pxx: -8.8769135372524e-05 Pyy: -4.42422329491142e-05 Pzz: 7.33315457616346 
lz: 453.20190813985806244 Vol: 68301278.350743278861 PE: -28543838.3233717  Pxx: -0.000153474220919138 Pyy: 9.39255395764538e-05 Pzz: 7.32226156712771 
lz: 453.60873211484909007 Vol: 68304915.389773905277 PE: -28543102.6823304  Pxx: 1.29435822931258e-05 Pyy: 1.10491921276065e-05 Pzz: 7.33170982107483 
lz: 454.01555608984006085 Vol: 68307445.37745384872 PE: -28542049.6751184  Pxx: 4.9256240776735e-05 Pyy: -8.42139206619933e-07 Pzz: 7.33945691744916 
lz: 454.42238006483108848 Vol: 68309280.412945777178 PE: -28540735.9965906  Pxx: -0.000101247928695046 Pyy: -8.03754305065158e-05 Pzz: 7.37326091493247 
lz: 454.82920403982205926 Vol: 68320346.493201375008 PE: -28539265.0324319  Pxx: 2.06314702365378e-05 Pyy: 0.000125289943300315 Pzz: 7.41211176538464 
lz: 455.23602801481308688 Vol: 68324243.172634243965 PE: -28537812.3389627  Pxx: 9.40443682398277e-05 Pyy: -6.88809260895219e-05 Pzz: 7.43622505367811 
lz: 455.64285198980309133 Vol: 68326943.110321745276 PE: -28536352.6239171  Pxx: -5.83236865524239e-05 Pyy: 2.95728626065622e-05 Pzz: 7.46871595133186 
lz: 456.04967596479406211 Vol: 68329638.30903147161 PE: -28535075.5225056  Pxx: 7.19982332811653e-05 Pyy: 6.60028936305369e-05 Pzz: 7.47273660983464 
lz: 456.45649993978508974 Vol: 68329368.878464072943 PE: -28534489.5806855  Pxx: -5.89493991907816e-05 Pyy: 2.58347402649343e-05 Pzz: 7.44411766969658 
lz: 456.86332391477606052 Vol: 68331593.06162622571 PE: -28533490.1501405  Pxx: 9.80082353584162e-05 Pyy: -5.42633359265291e-05 Pzz: 7.45375037813359 
lz: 457.27014788976708815 Vol: 68330543.740242883563 PE: -28532812.087032  Pxx: 7.55124268506152e-06 Pyy: 5.85123785499606e-05 Pzz: 7.43095024535156 
lz: 457.67697186475805893 Vol: 68328273.453497588634 PE: -28532258.9762305  Pxx: -3.23106167055487e-06 Pyy: 2.09320517857307e-05 Pzz: 7.402108462017 
lz: 458.08379583974908655 Vol: 68329030.691916272044 PE: -28531833.3456151  Pxx: 0.000104163013783254 Pyy: -1.72196739645394e-05 Pzz: 7.38009105370979 
lz: 458.49061981474005734 Vol: 68329085.774827823043 PE: -28531257.5410785  Pxx: 2.01390312413023e-05 Pyy: -0.000201027876259133 Pzz: 7.36918758078103 
lz: 458.89744378973108496 Vol: 68330879.246288955212 PE: -28530285.3437852  Pxx: -0.000106356904529365 Pyy: 8.80897269933544e-05 Pzz: 7.37898287841304 
lz: 459.30426776472108941 Vol: 68331817.990381836891 PE: -28529367.5107708  Pxx: 5.98624772648642e-06 Pyy: -2.89976421374362e-05 Pzz: 7.36651013254183 
lz: 459.71109173971206019 Vol: 68331060.758753478527 PE: -28528686.657307  Pxx: 7.19504965123402e-05 Pyy: -3.6495529151959e-05 Pzz: 7.36363371678061 
lz: 460.11791571470308781 Vol: 68332097.256299719214 PE: -28527629.4734706  Pxx: -0.000128878864219993 Pyy: -0.000122076296410505 Pzz: 7.36267103567603 
lz: 460.5247396896940586 Vol: 68337428.12027181685 PE: -28526071.7769066  Pxx: -0.000195394357366807 Pyy: -0.000147530917672085 Pzz: 7.39466705842344 
lz: 460.93156366468508622 Vol: 68345650.60294097662 PE: -28524486.9075855  Pxx: 0.000179548911075462 Pyy: 4.53995759847708e-05 Pzz: 7.42239468085378 
lz: 461.33838763967605701 Vol: 68348638.637836351991 PE: -28523106.8547806  Pxx: 1.93016595946031e-05 Pyy: 5.88758444266916e-05 Pzz: 7.43095926207615 
lz: 461.74521161466708463 Vol: 68351420.090509027243 PE: -28521977.6378167  Pxx: -1.95757935288458e-05 Pyy: 6.6585269030147e-05 Pzz: 7.42943862977152 
lz: 462.15203558965805541 Vol: 68346065.791550025344 PE: -28521595.5099212  Pxx: -0.000143442304996392 Pyy: 2.97998484501193e-05 Pzz: 7.39495017064457 
lz: 462.55885956464908304 Vol: 68339861.503031805158 PE: -28521745.4657388  Pxx: -6.96334423870479e-06 Pyy: -7.60121969064248e-06 Pzz: 7.33265528109461 
lz: 462.96568353964005382 Vol: 68334856.082022130489 PE: -28522037.5643277  Pxx: -1.47160892906392e-05 Pyy: 0.000144014985519933 Pzz: 7.28655229378701 
lz: 463.37250751463005827 Vol: 68331163.804419875145 PE: -28522172.0851913  Pxx: 3.72177085352422e-05 Pyy: 2.92552836794375e-05 Pzz: 7.23817975931761 
lz: 463.77933148962108589 Vol: 68328270.463331788778 PE: -28522496.0648366  Pxx: -9.99701437988289e-06 Pyy: 6.10160011899918e-05 Pzz: 7.20956389885084 
