             -9 lmp:    -5.430113 ref:    -5.583698 err:    -2.750591 %
             -8 lmp:    -5.632561 ref:    -5.760650 err:    -2.223526 %
             -7 lmp:    -5.801576 ref:    -5.898898 err:    -1.649829 %
             -6 lmp:    -5.940179 ref:    -6.019703 err:    -1.321063 %
             -5 lmp:    -6.051153 ref:    -6.123811 err:    -1.186487 %
             -4 lmp:    -6.137064 ref:    -6.205571 err:    -1.103956 %
             -3 lmp:    -6.200275 ref:    -6.265778 err:    -1.045403 %
             -2 lmp:    -6.242960 ref:    -6.306305 err:    -1.004479 %
             -1 lmp:    -6.266928 ref:    -6.328466 err:    -0.972399 %
              0 lmp:    -6.273998 ref:    -6.334132 err:    -0.949378 %
              1 lmp:    -6.266404 ref:    -6.326788 err:    -0.954409 %
              2 lmp:    -6.244835 ref:    -6.307027 err:    -0.986076 %
              3 lmp:    -6.210281 ref:    -6.267326 err:    -0.910189 %
              4 lmp:    -6.163707 ref:    -6.224515 err:    -0.976912 %
              5 lmp:    -6.106044 ref:    -6.179363 err:    -1.186509 %
              6 lmp:    -6.038197 ref:    -6.118303 err:    -1.309290 %
              7 lmp:    -5.961035 ref:    -6.051069 err:    -1.487904 %
              8 lmp:    -5.875394 ref:    -5.977126 err:    -1.702026 %
              9 lmp:    -5.782075 ref:    -5.898769 err:    -1.978281 %
             10 lmp:    -5.681846 ref:    -5.817014 err:    -2.323677 %
            pxx lmp:  4176.783789 ref:     1.000000 err: 417578.378925 %
            -10 lmp:    -5.689573 ref:    -6.063506 err:    -6.166944 %
             -9 lmp:    -6.163174 ref:    -6.438025 err:    -4.269186 %
             -8 lmp:    -6.556773 ref:    -6.756197 err:    -2.951733 %
             -7 lmp:    -6.879375 ref:    -7.024090 err:    -2.060269 %
             -6 lmp:    -7.139089 ref:    -7.243095 err:    -1.435933 %
             -5 lmp:    -7.343206 ref:    -7.418480 err:    -1.014678 %
             -4 lmp:    -7.498279 ref:    -7.553872 err:    -0.735962 %
             -3 lmp:    -7.610189 ref:    -7.653126 err:    -0.561041 %
             -2 lmp:    -7.684212 ref:    -7.719045 err:    -0.451261 %
             -1 lmp:    -7.725069 ref:    -7.754775 err:    -0.383067 %
              0 lmp:    -7.736970 ref:    -7.763645 err:    -0.343591 %
              1 lmp:    -7.723543 ref:    -7.748529 err:    -0.322453 %
              2 lmp:    -7.687309 ref:    -7.711936 err:    -0.319332 %
              3 lmp:    -7.630501 ref:    -7.656053 err:    -0.333745 %
              4 lmp:    -7.555216 ref:    -7.582317 err:    -0.357428 %
              5 lmp:    -7.463415 ref:    -7.483267 err:    -0.265286 %
              6 lmp:    -7.356933 ref:    -7.379403 err:    -0.304492 %
              7 lmp:    -7.237482 ref:    -7.262768 err:    -0.348152 %
              8 lmp:    -7.106656 ref:    -7.134796 err:    -0.394410 %
              9 lmp:    -6.965936 ref:    -6.996554 err:    -0.437611 %
             10 lmp:    -6.816698 ref:    -6.849406 err:    -0.477538 %
            pxx lmp:  1387.980230 ref:     1.000000 err: 138698.023013 %
            -10 lmp:    -5.300219 ref:    -5.931840 err:   -10.647976 %
             -9 lmp:    -5.767393 ref:    -6.277648 err:    -8.128119 %
             -8 lmp:    -6.160161 ref:    -6.571782 err:    -6.263458 %
             -7 lmp:    -6.485803 ref:    -6.816925 err:    -4.857362 %
             -6 lmp:    -6.750984 ref:    -7.017999 err:    -3.804722 %
             -5 lmp:    -6.961809 ref:    -7.178718 err:    -3.021552 %
             -4 lmp:    -7.123860 ref:    -7.303134 err:    -2.454758 %
             -3 lmp:    -7.242218 ref:    -7.393732 err:    -2.049223 %
             -2 lmp:    -7.321591 ref:    -7.455219 err:    -1.792408 %
             -1 lmp:    -7.366225 ref:    -7.490045 err:    -1.653118 %
              0 lmp:    -7.379996 ref:    -7.502191 err:    -1.628787 %
