temp: 2000 Vol: 69559995.1092444 Enthalpy: -6.46349151453729 Density: 11.5606005994125
temp: 2020 Vol: 69585554.6398102 Enthalpy: -6.45759983228238 Density: 11.5563542651525
temp: 2040 Vol: 69614486.1880552 Enthalpy: -6.45252394995439 Density: 11.5515514828691
temp: 2060 Vol: 69643875.3755227 Enthalpy: -6.44705456931241 Density: 11.5466768157151
temp: 2080 Vol: 69672615.7347786 Enthalpy: -6.44110431924543 Density: 11.5419137443607
temp: 2100 Vol: 69705745.3565574 Enthalpy: -6.43613485365417 Density: 11.5364281242743
temp: 2120 Vol: 69735361.0145296 Enthalpy: -6.43015635525348 Density: 11.5315287603839
temp: 2140 Vol: 69765476.9953751 Enthalpy: -6.42430123194192 Density: 11.5265508929014
temp: 2160 Vol: 69795119.8264293 Enthalpy: -6.418969120924 Density: 11.5216554274104
temp: 2180 Vol: 69829331.5015583 Enthalpy: -6.41361456519615 Density: 11.5160105912916
temp: 2200 Vol: 69857992.1360952 Enthalpy: -6.40645083157097 Density: 11.5112859182683
temp: 2220 Vol: 69893876.2293246 Enthalpy: -6.40174897354758 Density: 11.5053759290195
temp: 2240 Vol: 69925530.8510485 Enthalpy: -6.39541364555348 Density: 11.5001675549336
temp: 2260 Vol: 69960203.5837311 Enthalpy: -6.38977016689121 Density: 11.4944679969712
temp: 2280 Vol: 69994901.6721039 Enthalpy: -6.38408175937025 Density: 11.4887699238708
temp: 2300 Vol: 70029149.7907999 Enthalpy: -6.37817371419628 Density: 11.4831512813884
temp: 2320 Vol: 70066170.144833 Enthalpy: -6.37306673606561 Density: 11.4770840120485
temp: 2340 Vol: 70102178.4366556 Enthalpy: -6.36664186070385 Density: 11.4711887574449
temp: 2360 Vol: 70136077.2239614 Enthalpy: -6.35942101924871 Density: 11.4656444013384
temp: 2380 Vol: 70173047.240353 Enthalpy: -6.35364795914585 Density: 11.459603833369
temp: 2400 Vol: 70213039.2681698 Enthalpy: -6.3475239932953 Density: 11.4530766583598
temp: 2420 Vol: 70254754.7186532 Enthalpy: -6.34153588031827 Density: 11.4462761186077
temp: 2440 Vol: 70296877.0284503 Enthalpy: -6.3361761219867 Density: 11.4394174413941
temp: 2460 Vol: 70336435.9137399 Enthalpy: -6.32972564734114 Density: 11.4329836408143
temp: 2480 Vol: 70384327.687668 Enthalpy: -6.32406549793263 Density: 11.4252042688138
temp: 2500 Vol: 70431629.2449124 Enthalpy: -6.31755818552829 Density: 11.4175311543405
temp: 2520 Vol: 70479559.8776068 Enthalpy: -6.31050738262716 Density: 11.4097664989874
temp: 2540 Vol: 70531775.6800739 Enthalpy: -6.30397396789733 Density: 11.4013196662262
temp: 2560 Vol: 70586150.2232593 Enthalpy: -6.29699042315159 Density: 11.3925369015227
temp: 2580 Vol: 70650034.2291311 Enthalpy: -6.29141718444284 Density: 11.3822354076549
temp: 2600 Vol: 70708511.2387077 Enthalpy: -6.28266168491224 Density: 11.3728221266032
temp: 2620 Vol: 70777841.1440285 Enthalpy: -6.27585565863805 Density: 11.3616819636859
temp: 2640 Vol: 70853224.9691778 Enthalpy: -6.26917451944044 Density: 11.3495937764946
temp: 2660 Vol: 70938099.398218 Enthalpy: -6.26157877998185 Density: 11.336014468623
temp: 2680 Vol: 71030542.745779 Enthalpy: -6.25326812025421 Density: 11.3212611092222
temp: 2700 Vol: 71136222.0033503 Enthalpy: -6.24539437686208 Density: 11.3044423573276
temp: 2720 Vol: 71245453.6597501 Enthalpy: -6.2345385440464 Density: 11.2871106835143
temp: 2740 Vol: 71373443.675253 Enthalpy: -6.22533407113136 Density: 11.2668701374929
temp: 2760 Vol: 71516097.9446843 Enthalpy: -6.21642002231096 Density: 11.2443959369365
temp: 2780 Vol: 71672520.2636432 Enthalpy: -6.20668618245611 Density: 11.21985550664
temp: 2800 Vol: 71844577.925727 Enthalpy: -6.19886661431988 Density: 11.1929855303219
temp: 2820 Vol: 72026937.7247151 Enthalpy: -6.18841275970623 Density: 11.1646468190583
temp: 2840 Vol: 72220595.4265877 Enthalpy: -6.18103104962132 Density: 11.1347091007054
temp: 2860 Vol: 72414455.7565158 Enthalpy: -6.17280212134693 Density: 11.1049004339497
temp: 2880 Vol: 72601579.1821475 Enthalpy: -6.16749723965656 Density: 11.0762786459133
temp: 2900 Vol: 72785866.5363831 Enthalpy: -6.16037621009522 Density: 11.0482344914146
temp: 2920 Vol: 72966468.8967947 Enthalpy: -6.15740639598855 Density: 11.0208885439172
temp: 2940 Vol: 73134709.934649 Enthalpy: -6.15527556318289 Density: 10.9955357978905
temp: 2960 Vol: 73285226.7592868 Enthalpy: -6.15456181799208 Density: 10.9729526224458
temp: 2980 Vol: 73413928.0842993 Enthalpy: -6.15287085513543 Density: 10.9537160337153
temp: 3000 Vol: 73533570.3396434 Enthalpy: -6.15290050546876 Density: 10.93589387052
temp: 3020 Vol: 73641139.5467453 Enthalpy: -6.15243052052721 Density: 10.9199195735465
temp: 3040 Vol: 73742567.6656471 Enthalpy: -6.1538472375315 Density: 10.9048999324374
temp: 3060 Vol: 73830197.0748239 Enthalpy: -6.15356617441181 Density: 10.8919568552686
temp: 3080 Vol: 73915230.2510425 Enthalpy: -6.15267158906471 Density: 10.8794265866931
temp: 3100 Vol: 73990119.1861597 Enthalpy: -6.15112390856449 Density: 10.8684149991916
temp: 3120 Vol: 74064532.1727289 Enthalpy: -6.15096867795536 Density: 10.85749545112
temp: 3140 Vol: 74130874.8692718 Enthalpy: -6.14712610615737 Density: 10.8477786424739
