0.000551671891485861 0.136447975882689    853976.0    
0.00155212066837118 0.384181643291682    853831.2    
0.00255256944525661 0.611655556666251    853427.4    
0.00355301822214205 0.784922277452502    853046.2    
0.00455346699902759 0.9367318192847    852904.9    
0.00555391577591302 1.07036348494128    852804.6    
0.00655436455279834 1.20922916763297    852593.2    
0.00755481332968377 1.37078434874752    852648.4    
0.00855526210656921 1.56038773176973    852678.8    
0.00955571088345475 1.78239370316907    852420.5    
0.0105561596603402 2.0021189143291    852271.1    
0.0115566084372255 2.2471495679232    852038.1    
0.0125570572141109 2.45991353878865    851733.8    
0.0135575059909964 2.66007034668534    851160.3    
0.0145579547678819 2.83480015547995    851210.4    
0.0155584035447662 2.99614834382314    851017.6    
0.0165588523216516 3.1264355139704    850853.9    
0.0175593010985371 3.27994689892914    850941.9    
0.0185597498754225 3.43048307720387    850978.2    
0.019560198652308 3.59867478595152    850876.1    
0.0205606474291935 3.78094328306724    850812.9    
0.0215610962060789 3.97547380644397    850727.3    
0.0225615449829643 4.18530580146726    850417.1    
0.0235619937598497 4.39069033312048    850121.6    
0.0245624425367351 4.59781723033678    849888.7    
0.0255628913136206 4.79217767112864    849812.9    
0.0265633400905059 4.96067751751021    849408.9    
0.0275637888673913 5.12827766857688    849147.7    
0.0285642376442768 5.28537020301923    849032.9    
0.0295646864211623 5.42875929679356    848926.4    
0.0305651351980477 5.56218932046654    848924.0    
0.0315655839749333 5.70712662124062    848735.1    
0.0325660327518186 5.86010721937751    848558.2    
0.033566481528704 6.00135839055422    848443.1    
0.0345669303055894 6.17254073786162    848484.3    
0.0355673790824749 6.34691608031114    848475.1    
0.0365678278593602 6.51938721569746    848036.1    
0.0375682766362456 6.69907528204672    847770.6    
0.0385687254131311 6.89447527562355    847971.2    
0.0395691741900165 7.06463572853389    847541.2    
0.040569622966902 7.24237416995814    847381.9    
0.0415700717437875 7.39894580413828    847215.6    
0.0425705205206729 7.55682101861338    846881.7    
0.0435709692975583 7.70971010859696    846660.9    
0.0445714180744438 7.85390883371848    846531.1    
0.0455718668513292 7.99085908794896    846386.0    
0.0465723156282146 8.12076048006782    846088.3    
0.0475727644050999 8.2535170099447    845883.8    
0.0485732131819854 8.38466234186473    845515.3    
0.0495736619588708 8.51486328234349    845676.9    
0.0505741107357554 8.6404832550647    845673.2    
0.0515745595126408 8.76811440552573    845328.8    
0.0525750082895262 8.89038909166179    845217.8    
0.0535754570664115 9.01552151403429    845109.9    
0.054575905843297 9.15946858526563    844986.4    
0.0555763546201824 9.28646029733982    844918.4    
0.0565768033970678 9.41968148524994    844670.6    
0.0575772521739534 9.55122314765321    844556.9    
0.0585777009508387 9.69259013627897    844402.7    
0.0595781497277241 9.8183845123641    844098.6    
0.0605785985046097 9.94435701665074    843928.8    
0.0615790472814951 10.0839657478724    843797.1    
0.0625794960583805 10.1958728225754    843409.7    
0.0635799448352659 10.3192198698363    843416.3    
0.0645803936121513 10.4319788767095    843074.1    
0.0655808423890367 10.5383121331102    842888.6    
0.0665812911659222 10.6523029076208    842741.4    
0.0675817399428075 10.7503491429036    842304.2    
0.068582188719693 10.8505252856771    842237.8    
0.0695826374965784 10.9487600822781    842014.0    
0.0705830862734639 11.0368025328797    841662.3    
